HEXOSKINTIME,VALUE
372178157981,77
372178158237,77
372178158493,77
372178158749,77
372178159005,76
372178159261,76
372178159517,76
372178159773,76
372178160029,75
372178160285,75
372178160541,74
372178160797,74
372178161053,74
372178161309,73
372178161565,73
372178161821,73
372178162077,73
372178162333,73
372178162589,73
372178162845,73
372178163101,74
372178163357,75
372178163613,77
372178163869,79
372178164125,79
372178164381,80
372178164637,80
372178164893,82
372178165149,83
372178165405,85
372178165661,86
372178165917,87
372178166173,87
372178166429,87
372178166685,86
372178166941,86
372178167197,87
372178167453,87
372178167709,89
372178167965,90
372178168221,91
372178168477,92
372178168733,92
372178168989,93
372178169245,95
372178169501,96
372178169757,99
372178170013,100
372178170269,101
372178170525,102
372178170781,101
372178171037,101
372178171293,99
372178171549,99
372178171805,98
372178172061,97
372178172317,96
372178172573,94
372178172829,94
372178173085,93
372178173341,93
372178173597,94
372178173853,94
372178174109,93
372178174365,94
372178174621,95
372178174877,97
372178175133,99
372178175389,100
372178175645,100
372178175901,100
372178176157,100
372178176413,100
372178176669,100
372178176925,100
372178177181,100
372178177437,98
372178177693,98
372178177949,98
372178178205,98
372178178461,98
372178178717,98
372178178973,100
372178179229,100
372178179485,100
372178179741,101
372178179997,102
372178180253,103
372178180509,103
372178180765,103
372178181021,105
372178181277,105
372178181533,105
372178181789,105
372178182045,105
372178182301,107
372178182557,111
372178182813,111
372178183069,111
372178183325,111
372178183581,111
372178183837,111
372178184093,111
372178184349,111
372178184605,111
372178184861,111
372178185117,111
372178185373,111
372178185629,111
372178185885,111
372178186141,111
372178186397,111
372178186653,111
372178186909,111
372178187165,111
372178187421,111
372178187677,111
372178187933,111
372178188189,111
372178188445,109
372178188701,107
372178188957,106
372178189213,104
372178189469,104
372178189725,102
372178189981,95
372178190237,95
372178190493,92
372178190749,91
372178191005,90
372178191261,90
372178191517,90
372178191773,91
372178192029,91
372178192285,93
372178192541,93
372178192797,93
372178193053,93
372178193309,93
372178193565,93
372178193821,93
372178194077,93
372178194333,93
372178194589,93
372178194845,93
372178195101,93
372178195357,94
372178195613,94
372178195869,94
372178196125,94
372178196381,95
372178196637,95
372178196893,95
372178197149,95
372178197405,94
372178197661,96
372178197917,96
372178198173,96
372178198429,96
372178198685,96
372178198941,96
372178199197,96
372178199453,96
372178199709,96
372178199965,96
372178200221,97
372178200477,98
372178200733,98
372178200989,98
372178201245,100
372178201501,100
372178201757,102
372178202013,102
372178202269,101
372178202525,101
372178202781,101
372178203037,100
372178203293,100
372178203549,98
372178203805,98
372178204061,96
372178204317,94
372178204573,93
372178204829,93
372178205085,91
372178205341,90
372178205597,89
372178205853,88
372178206109,87
372178206365,84
372178206621,83
372178206877,82
372178207133,80
372178207389,78
372178207645,77
372178207901,77
